,flag
 3 月 31 日,nz
齡；衛生防護中心於 3 月 29 日公佈,nt
 3 月 26 日返港。）患者 2 月 19 日至 3 月 25 日往英國，,nt
居家隔離。並無病徵，與 第 #572 宗個案,nz
流行病學關連。（衞生防護中心,nt
英國，3 月 25 日返港，,nz
並無病徵。,nr
英國，3 月 23 日返港，,nz
居家隔離。患者無病徵。,nz
 衞生防護中心,nt
英國， 3 月 25 日返港，,nz
並無病徵。（衞,nr
防護中心,nt
英國， 3 月 26 日返港，,nz
 2 月 26 日至 3 月 26 日,nt
。 3 月 24 日,nr
發燒。（衞生防護中心,nt
 3 月 3 日至 13 日,nz
法國，,nz
輪,v
英國、波蘭、,nz
丹麥，,nr
英國， 3 月 26 日從英國返港，,nz
 3 月 17 日至 3 月 24 日,nz
居家隔離。 3 月 25 日開始發燒。,nt
為英國留學生， 3 月 27 日返港，,nz
。 3 月 25 日,nz
病徵。（衛生防護中心於 3 月 29 日公佈,nt
。  3 月 ,nr
徵,n
旅遊美國， 3 月 26 日返港，,nz
居家隔離。 3 月 27 日開始咳嗽。（衛生防護中心於 3 月 29 日公佈,nt
 3 月 27 日返港，惟根據,nz
 3 月 26 日返港。）患者為英國留學生， 3 月 26 日返港，,nz
鼻,n
充血,v
 1 月 15 日至 3 月 27 日,nz
俄羅斯，,nr
美國旅遊， 3 月 27 日返港，,nt
 3 月 7 日至 18 日到新西蘭,nz
英國。 3 月 21 日,nz
與第 #415 宗個案,nz
 3 月 23 日開始發燒。,nz
地渣甸山春暉道愉富大廈 A 座，與第 #467、#613 及 #622 宗個案,nz
一家人,n
。 3 月 26 日起發燒，,nr
其父,r
（第 #467 個案,nz
首先,r
第 #613 宗個案,nz
先,d
，繼,v
傳染。,nr
地渣甸山春暉道愉富大廈 A 座，為英國留學生，3 月 15 日返港，與第 #467、#612 及 #622 宗個案,nz
 3 月 26 日出現頭痛症狀，,nz
）雖,nr
傳染,v
過 All Night Long ,nr
顧客。 3 月 27 日,nr
顧客。 3 月 23 日,nr
、喉嚨痛、,nz
英國留學， 3 月 17 日返港，,nz
痛、喉,nr
英國旅遊， 3 月 21 日返港，,nz
曾與第 #566 宗個案,nz
。 3 月 17 日出現失去嗅覺,nz
中環砵典乍街 36 號髮型屋 Selvedge 工作，,nt
後於,v
 3 月 25 日,nz
過髮型,a
屋,n
 3 月 7 日至 15 日,nz
旅遊，,nr
。  3 月 23 日,nr
徵。與第 #620 宗個案,nz
徵。與第 #619 宗個案,nz
流行病學關連，,nz
 3 月 8 日至 16 日到英國旅遊，3 月 25 日,nt
胸部,n
與第 #467、#612 及 #613 宗個案,nz
 3 月 27 日出現喉嚨不適症狀。,nz
 2 月 25 日至 3 月 13 日到英國、烏克蘭,nz
阿聯酋。 3 月 23 日出現發燒、咳嗽,nz
 3 月 6 日至 23 日,nz
荷蘭，,nz
發燒。,nz
顧客。  3 月 ,nr
24 日,m
菲律賓， 3 月 9 日返港，由檢疫中心,nt
樂隊」群組，為 Insomnia 酒吧,nt
員,v
酒吧消遣。,nz
英國留學， 3 月 21 日返港，,nz
。 3 月 27 日失去嗅覺,nz
 3 月 13 至 24 日到英國。 3 月 26 日,nz
表演者,n
，與第 #432 宗個案,nz
。 3 月 28 日,nz
 3 月 6 日至 18 日,nz
英國，與第 #354、 #396 及 #464 宗個案,nz
流行病學關連。 3 月 27 日,nz
 1 月 30 日至 3 月 17 日到英國。 3 月 21 日,nz
德國， 3 月 15 日返港， 3 月 27 日,nt
徵。與第 #333 宗個案,nz
D,v
usk Till Dawn 酒吧,nt
曾 3 月 22 日至 27 日,nz
澳門。 3 月 26 日,nt
英國留學， 3 月 28 日返港，,nz
亞洲博覽館送院。 3 月 28 日,nt
為 Dusk Till Dawn ,nr
工作人,n
。 3 月 26 日出現呼吸困難、咳嗽,nz
英國留學， 3 月 27 日返港，,nz
。 3 月 27 日發,nr
，3 月 27 日返港，,nz
26 日,m
骨痛症,n
英國留學，3 月 28 日返港，,nz
亞洲博覽館送院。 3 月 17 日發燒,nt
外遊紀錄。 3 月 21 日出現喉嚨痛,nz
嗅覺症狀。,nz
與第 #465 宗個案,nz
 3 月 5 日至 15 日到英國。 3 月 22 日,nz
英國， 3 月 27 日返港，,nz
。 3 月 14 日,nz
 1 月 27 日至 3 月 22 ,nz
以色列,LOC
。 3 月 27 日開始發燒。,nz
英國旅遊， 3 月 26 日抵達,nt
英國留學生， 3 月 27 日返港，,nz
。 3 月 24 日出現失去嗅覺,nz
 4 月 8 日出院，,nt
現喉嚨痕癢,nr
呼吸,vn
暢順,v
 4 月 21 日,nz
學生， 3 月 26 日返港，,nz
家居隔離。 3 月 28 日開始喉嚨痛。,nt
學生， 3 月 27 日返港，,nz
， 3 月 12 日開始發燒。與第 #555 宗個案,nz
關連。患者為英國留學生， 3 月 27 日返港，,nz
。 3 月 27 日,nz
與第 #659 宗個案,nz
關連。,nz
 2 月 5 日至 3 月 26 日,nz
英國，,PER
 2 月初至 3 月 26 ,nz
英國旅遊， 3 月 27 日返港，,nz
。並,nr
為英國留學生， 3 月 28 日返港，,nz
學生， 3 月 28 日返港，,nz
與第 #652 宗個案,nz
英國， 3 月 27 日抵達香港，,nt
。 3 月 29 日,nz
發燒、呼吸困難、肌肉痛,nz
外遊紀錄， 3 月 28 日,nz
頭暈,nr
病徵。 3 月 24 日曾與 第 #687、 #702、 #704 及 #705 宗個案,nt
 RedMr 唱卡拉 OK。,nr
石硤尾警署,LOC
， 3 月 29 日,nz
別人,n
不屬,v
該警員,nr
 3 月 27 日與,nz
野餐,n
這,v
些,q
列為,v
密切接觸者。與第 #854 宗個案,nz
小,a
隊,vn
 2 月 27 日至 3 月 27 ,nz
捷克,LOC
家居隔離。 3 月 20 日,nz
曾與第 #666 宗個案,nz
柯士甸西 1 號漾日居第七座， 2 月 27 至 3 月 27 日,nt
家居隔離，沒有出現病徵。與第 #665 宗個案,nz
沙田赤泥坪， 3 月 16 至 28 日,nt
山村,n
 號富雅閣， 3 月 15 至 28 日,nt
報,v
旺角維景酒店， 2019 年 12 月至 2020 年 3 月 28 日,nt
。 3 月 29 日出現發燒病徵。,nz
學護，,nr
讀,v
公開,n
尖沙嘴諾士佛臺酒吧 All Night Long。 3 月 22 日出現發燒症狀。,nt
為英國留學生，報,nr
尖沙嘴梳士巴利道 41 號,nt
， 3 月 28 日返港，,nz
銅鑼灣百德新街 47 號百德大廈 B 座， 3 月 9 至 28 日,nt
菲律賓，,nr
家居隔離。3 月 29 日出現咳嗽病徵。,nz
嶺,v
祥華邨祥智樓。 3 月 26 日,nt
、喉嚨痛、失去嗅覺,nz
味覺病徵。,nz
為英國留學生，3 月 21 日出現發燒、,nr
味覺病徵。3 月 23 日返港，報,nz
赤鱲角,LOC
天際萬豪酒店，,nt
學生，3 月 25 日返港，報住香港灣仔帝盛酒店，,nt
。 3 月 27 日出現咳嗽、,nz
味覺、流鼻水病徵，,nz
律敦治醫院留醫。與第 #605 宗個案,nt
仔石,n
排,v
灣邨碧山樓，為第 #533 及 #713 宗個案,nt
外遊紀錄，3 月 13 日曾與數名,nz
蘭,v
桂坊 Draft Land 酒吧。  3 月 29 日出現發燒病徵，,nt
黃大仙下邨龍華樓。 3 月 27 日返港，,nz
強制家居檢疫。 3 月 28 日出現發燒、咳嗽及呼吸困難病徵，,nz
治療。與 第 #639 宗個案,nz
關連。 ,nz
，報,n
如心南灣海景酒店,LOC
強制家居檢疫。 3 月 27 日,nt
將軍澳新都城 3 期 4 座。 3 月 25 日返港，,nz
強制家居檢疫。3 月 27 日,nz
南灣海景酒店。 3 月 18 日開始喉,nt
流鼻水， 3 月 20 日返港，,nz
清水灣道 663 號傲瀧 10 座，,nz
 3 月 16 日至 18 日到英國。 3 月 27 日,nz
腹瀉症狀，,nz
與第 #563 宗個案,nz
半山西摩道 1 號輝煌臺居，沒有外遊紀錄。 3 月 27 日開始發燒。,nt
英國留學， 3 月 20 日返港，為強制家居檢疫,nt
 3 月 22 日,nz
嗅覺、味覺,nz
流鼻水。與第 #545 宗個案,nz
 3 月 10 日至 29 日,nz
，為強制家居檢疫人士。 3 月 14 日,nt
 3 月 12 至 14 日,nz
過澳門， 3 月 23 日,nr
 3 月 24 日與第 #705、 #702、 #704 及 #662 宗個案,nz
 RedMr 唱卡拉 OK。 3 月 27 日,nt
18 歲,m
，英國留學生。 3 月 28 日,nz
英國返港，返港,ns
強制家居檢疫，並無病徵。,nz
 2 月 1 日至 3 月 18 日到過法國，為強制家居檢疫人士。 3 月 22 日,nt
學生， 3 月 28 日,nr
英國返港，,nz
第 #581 及 #632 個案,nz
外遊紀錄。 3 月 29 日開始腹瀉、咳嗽 ,nz
為英國留學生，,nr
第 #187 個案,nz
強制家居檢疫，並無病徵。（衞生防護中心,nt
 4 月 1 日,nr
學生。 3 月 28 日返港，,nz
強制家居檢疫人，並於士翌日出現喉嚨痛症狀。（衞生防護中心,nt
 2 月 15 至 3 月 28 日,nz
過英國，為強制家居檢疫人士。3 月 27 日開始咳嗽。（衞生防護中心,nt
為英國留學生，3 月 ,nr
。 3 月 28 日返港，,nz
強制家居檢疫。為第 #697 宗個案,nt
，並無病徵。,nr
強制家居檢疫。為第 #696 宗個案,nt
 3 月 9 日至 27 日,nz
過冰島，為強制家居檢疫人士。 3 月 28 日出現咳嗽病徵。（衞生防護中心,nt
學生，3 月 28 日返港，,nz
學生，3 月 29 日返港，,nz
 2 月 27 日至 3 月 26 日到過英國，與第 #652 及 #659 宗個案,nz
流行病學關連。  3 月 27 日,nz
 3 月 24 日與第 #687、#704、#705 及 #662 宗個案,nz
 RedMr 唱 卡拉 OK。 3 月 27 日,nt
輕微咳嗽。（衞生防護中心,nt
 2 月 15 日至 3 月 18 日到過阿拉伯聯合酋長國。3 月 17 日,nz
 3 月 24 日與第 #687、#702、#705 及 #662 宗個案,nz
 RedMr 唱卡拉 OK。  3 月 24 日開始腹瀉及流鼻水。（衞生防護中心,nt
 3 月 24 日與第 #687、#702、#704 及 #662 宗個案,nz
 RedMr 唱卡拉 OK。 3 月 27 日開始發燒、咳嗽及呼吸困難。（衞生防護中心,nt
英國留學，3 月 24 日返港，,nz
強制家居檢疫。 3 月 30 日,nt
嗅覺。與第 #658 宗個案,nz
 Dusk till Dawn 酒吧,nt
 3 月 14 至 20 日,nz
第 #347 宗個案,nz
外遊紀錄。 3 月 29 日,nz
與第 #711 宗個案,nz
，1 月中至 3 月 16 日,nz
英國。 3 月 22 日,nz
與第 #710 宗個案,nz
港，報,ns
帝樂文娜公館，,nr
。 3 月 29 日出現咳嗽症狀。,nz
第 #533 及 #677 宗個案,nz
外遊紀錄。3 月 30 日,nz
呼吸困難。患者為英國留學生， 3 月 25 日返港，,nz
病徵。與第 #798 宗個案,nz
 2 月 13 日至 3 月 29 日到法國，,nz
狀。與第 #732 宗個案,nz
 3 月 12 日至 24 日到過美國。 3 月 18 日發病，,nz
嗅覺、咳嗽症狀，,nz
處職員，,nz
點,v
初,d
美國回港朋友見面， 3 月 23 日,nz
蘭桂芳,PER
中環兩間酒吧消遣。 3 月 25 日,nt
，無外遊紀錄，稱閒時,nz
薄扶林 F45 健身中心,nt
健身。 3 月 29 日,nz
 3 月 1 日至 17 日到過加拿大。 3 月 12 日發病，,nz
、喉嚨痛徵狀，,nz
為孕婦，,nr
 2 月 27 日至 3 月 25 日,nz
過智利,nr
阿根廷,LOC
。 3 月 26 日發病（懷孕 21 週），,nz
喉嚨痛、咳嗽,nz
發燒徵狀，,nr
。 3 月 29 日返港患者為英國留學生，3 月 26 日出現疲倦症狀， 3 月 29 日返港，,nz
 2 月 20 日至 3 月 28 日到英國。 3 月 28 日發病，,nz
、腹瀉、咳嗽徵狀，,nz
。與第  #725 宗個案,nz
關連。（衛生防護中心,nt
 2 月 20 日至 3 月 28 日,nz
英國。並沒有病徵，,nz
。與第 #724 宗個案,nz
英國留學生， 3 月 26 日返港，,nz
檢疫。並,nr
英國， 2 月 24 日發病，,nz
咳嗽、腹瀉症狀。 3 月 29 日返港，,nz
入院。（衛生防護中心於 4 月 1 日公佈,nt
 3 月 29 日返港。）,nz
學生， 3 月 13 日發病。 3 月 29 日返港，,nt
痛、喉嚨痕癢症狀。（衛生防護中心於 4 月 1 日公佈,nt
 3 月 28 日返港，惟根據,nz
， 2 月 26 至 3 月 28 日到過法國，返港後,nz
強制家居檢疫。 3 月 19 日出現發燒、,nt
英國留學生， 3 月 29 日返港，並,nz
病徵。（衛生防護中心於 4 月 1 日公佈,nt
 3 月 29 日返港。 3 月 31 日發病，,nz
鼻塞症狀。,nz
第 #715 宗個案,nz
， 2 月 13 日至 3 月 30 日,nz
強制家居檢疫。 3 月 31 日出現口乾症狀。,nz
美國留學,nr
生，,v
 3 月 29 日返港。  3 月 24 日,nz
、肌肉痛症狀。,nz
 2 月 29 日至 3 月 29 日,nz
強制家居檢疫。並沒有出現病徵。,nz
 3 月 14 至 29 日,nz
學生， 3 月 29 日返港，,nz
強制家居檢疫。 3 月 31 日發病，,nz
 2 月 8 日至 3 月 17 日到英國。 3 月 17 日發病，,nz
味覺、胸口痛症狀。與第 #417 宗個案,nz
第 #484 宗個案,nz
 2 月 10 日至 3 月 18 日,nz
、英國。 3 月 10 日發病，,nz
 2 月 19 日至 3 月 27 日,nz
 3 月 1 日至 3 月 27 日,nz
強制家居檢疫。 3 月 27 日發病，,nz
味覺、嗅覺、發燒症狀，,nz
第 #613、#612、#622 及 #467 宗個案,nz
。 3 月 30 日開始發燒。,nz
第 #1053 宗,m
 3 月 15 至 16 日見面， 3 月 24 日,nz
 5 月 15 日確診。,nt
 3 月 17 日至 31,nz
。 3 月 23 日發病，,nz
咳嗽、呼吸困難症狀，,nz
學生， 3 月 31 日,nr
強制家居檢疫。 3 月 20 日發病，,nz
發燒、咳嗽徵狀。,nz
桂坊,PER
樂隊,v
群組,n
外遊紀錄。 3 月 26 日發病，,nz
傑志足球隊助教盧比度，,nt
第 #623 宗個案,nz
 ，無外遊紀錄，,nr
一次,m
為 3 月 25 日。,nz
外遊紀錄，為地政總署職員，,nz
北角政府合署 22 樓工作。 3 月 27 日發病，,nt
嗅覺、呼吸短促症狀，,nz
治療。曾與第 #686 宗個案,nz
國留學,v
 2 月 24 日至 3 月 29 ,nz
強制家居檢疫。 3 月 16 日發病，,nt
喉嚨痛、流鼻水、打噴嚏症狀，,nz
 2 月下旬,nz
 3 ,nz
月中,TIME
美國，與 #534 有關連。患者為英國留學生， 3 月 25 日返港，,nz
強制家居檢疫。 3 月 28 日,nt
第 #702 宗個案,nz
（ RedMR 卡拉 OK 群組）,nr
外遊紀錄。 3 月 29 日開始發燒、咳嗽,nz
痰。,n
駐守,v
 3 月 17 至 19 日留港，,nz
港。3 月 29 日開始喉乾、,nt
發燒 。,nr
司機（車牌：RT7324 ），無外遊紀錄。3 月 23 日開始發燒、,nt
呼吸困難。,nz
 All Night Long 酒吧，屬「,nt
水。,n
任職,PER
 Reenex 位於 iSQUARE 22 樓的分店， 3 月 25 日曾為第 #504 宗個案,nt
 月 29 日,t
胸口,n
痛 。 ,nr
第 #796  宗個案,nz
 3 月 27 及 29 日,nz
山、,n
滑水,n
進餐,n
 4 月 25 日出院，5 月 8 日身體,nt
廣華醫院，經測試結果,nt
為 40 日大男嬰，,nr
 3 月 20 日與第 #462 宗個案,nz
觸。 3 月 ,nr
30 日,m
因而,c
帶往,v
私家醫院,n
診，病毒測試呈陽性，,nz
伊利莎伯醫院,ORG
 。 ,nr
第 #954 及 #891 宗個案,nz
先後,v
 3 月 24 日與第 #705 、#702、#704、#662、#687 及 #759 宗個案,nz
 RedMr 唱卡拉 OK。 3 月 25 日,nt
 3 月 24 日曾與第 #705、#702、 #704、#662、#687 及 #758 宗個案,nz
 RedMr 唱卡拉 OK。3 月 27 日,nt
司機，,nr
238,m
240 號益誠大廈 3 樓，,nt
第 #525 宗個案,nz
鄰居，,nr
互相,d
。 3 月 31 日,nz
 3 月 14 至 16 日,nz
泰國。 ,nr
 27 日,nz
英國留學， 3 月 28 日開始喉嚨痛， 3  月 31 日返港，,nt
亞洲博覽館送院。與第  #532 宗個案,nt
飛機機師，,nr
， 2 月 28 日至 3 月 27 日,nz
溫哥,nr
華及,v
強制家居檢疫。 3 月 29 日,nt
英國留學， 3 月 23 日返港，,nz
英國留學，3 月 31 日返港，,nz
亞洲博覽館送院。 3 月 12 日開始發燒、,nt
 3 月 6 至 15 日到歐洲。 3 月 23 日,nz
嘔,n
吐,v
美國， 3 日 18 日返港。 3 月 25 日開始咳嗽、疲倦。（衞生防護中心,nt
 4 月 4 日,nz
住址,n
18,m
 25 日,nr
過多間酒吧，地點,nt
油,n
麻地,n
銅鑼灣，並,nr
銅鑼灣兵兵 Bing Bing 酒吧兼職。 3 月 26 日開始腹瀉，,nt
 3 月 12 至 30 日,nz
過美國，,nr
強制家居檢疫。 3 月 27 日出現喉嚨痛、咳嗽及疲倦症狀。患者 2019 年 12 月 4 日至 2020 年 3 月 31 日,nt
學生， 3 月 28 日返港，返港後接受強制家居檢疫。 3 月 25 日,nt
流鼻水症狀。患者無病徵，為第 #363 宗個案,nz
英國、芬蘭。,nz
空手道,n
團 （第 #172、#254 及 #302 宗個案,nz
關連，屬「香港體育學院」群組 。3 月 1 日至 18 日,nt
英國。並無出現病徵。,nz
 3 月 8 至 16 日,nz
。 3 月 24 日失去嗅覺。,nz
學生， 3 日 30 日返港，,nz
強制家居檢疫。 3 月 31 日,nt
痛症,n
美國， 3 月 30 日返港，,nz
 3 月 3 日至 30 日,nz
過英國，,nr
強制家居檢疫。 4 月 1 日,nt
強制家居檢疫。並無出現病徵。,nz
 3 月 13 至 30 日,nz
 2019 年 12 月 12 日至 2020 年 3 月 30 日到過美國。 3 月 31 日出現腹瀉症狀。,nz
學生，3 月 28 日返港，並無出現病徵。,nz
強制家居檢疫。並無出現病徵。與第 #695 宗個案,nz
西班牙留學生， 3 月 30 日返港，,nz
強制家居檢疫。 3 月 9 日,nt
英國，3 月 31 日返港，,nz
於屯門醫院,nt
強制家居檢疫。 3 月 31 日出現喉嚨痛、,nt
學生，3 月 30 日返港，,nz
學期,n
間與第 #426 及 #449 宗個案,nz
室友,n
。並無,nr
學生， 3 月 24 日返港，,nz
呼吸困難症狀。與第 #679 宗個案,nz
第 #406 宗,m
檢驗,v
發燒，遂轉送醫院。 3 月 31 日,nt
第 #599 宗個案,nz
 2 月 24 日至 3 月 24 日,nz
 2 月 15 日至 3 月 27 日,nz
，為強制家居檢疫人士。 3 月 29 日開始發燒。患者為第 #756 宗個案,nt
 Reenex 旺角,ns
分店,n
進餐。 3 月 30 日,nz
痛、,v
銅鑼灣 New Beauty 美容院，最後工作日期為 3 月 25 日，,nt
 3 月 23 至 25 日,nz
第 #714 宗個案,nz
父親。 3 月 29 日開始喉嚨痛、乾咳。,nz
英國留學， 3 月 18 日返港。 4 月 1 日,nz
英國留學， 3 月 22 日返港，,nz
強制家居檢疫。 3 月 24 日開始喉嚨痛。患者為第 #719 宗個案,nt
敎練,vn
 F45 。 3 月 31 日開始發燒、咳嗽、喉嚨痛、頭痛。與第 #849 宗個案,nt
關連。患者與第 #312 宗個案患者（屬「長沙灣昌隆工業大廈」群組）有關連。 3 月 24 日,nt
、腹,n
學，4 月 1 日,nr
港，並,nr
亞洲博覽館送院。  3 月 24 日開始喉嚨痛、,nt
旅遊。 3 月 20 日返港，,nz
強制家居檢疫，未有出現病徵。,nz
 3 月 7 日至 17 日,nz
英國。 3 月 25 日,nz
 2 月 14 至 3 月 11 日,nz
荷蘭。 3 月 28 日,nt
，病,n
發期間,v
某些,r
 Tazmania Ballroom 。,nz
，與第 #319 宗個案,nz
與 第 #266 、#319 及 #342 宗個案,nz
中環 La Cabane 飲酒，,nt
 3 月 4 日至 17 日,nz
美國，返港後進行強制家居檢疫。 3 月 23 日開始發燒，衞生署認為,nt
機會,n
大。,n
屯門醫院護士，過,nt
，3 月 13 至 22 日,nz
倫敦。,PER
為 3 月 9 日，,nr
強制家居檢疫，之後,nz
 1 月 28 日至 3 月 18 日到英國。 3 月 31 日,nz
第 #513 宗個案,nz
（ Insomnia ,nr
。 4 月 2 日開始喉嚨痕癢、咳嗽及頭痛，由檢疫中心,nt
，曾與第 #639 及 #678 宗個案,nz
交流,v
， 3 月 27 日,nz
強制家居檢疫。 3 月 30 日開始咳嗽，由檢疫中心,nt
 3 月初至 3 月 16,nz
 1 月 14 日至 3 月 31,nz
美國旅遊一個月， 3 月 30 日返港後,nt
。 3 月 31 日返港，,nz
 3 月 12 日至 31,nz
味覺症狀，3 月 31 日返港後,nz
，3 月 26 日開始流鼻水，3 月 31 日返港，,nz
。 3 月 16 日,nz
喉嚨痛，3 月 30 日返港，,nz
 2 月 29 至 3 月 30 日,nz
美國，返港後,nt
。 3 月 30 日返港，,nz
， 3 月 19 日出現咳嗽症狀。 3 月 31 日返港，,nz
， 3 月 31 日返港，,nz
有長期病患，為第 #829 宗個案,nz
英國留學生。 3 月 29 日出現發燒、咳嗽,nz
流鼻水症狀， 3 月 31 日返港，,nz
，為第 #828 宗個案,nz
英國留學生。 3 月 31 日返港，,nz
， 3 月 12 日至 17 日,nz
過德國，返港,ns
強制家居檢疫。 3 月 21 日,nt
， 3 月 29 日開始發燒、咳嗽,nz
流鼻水， 4 月 2 日返港後,nz
亞洲博覽館送院。（衛生防護中心於 4 月 3 日公佈,nt
 3 月 31 日返港，惟根據,nz
 4 月 2 日返港。）,nz
，3 月 28 日返港，,nz
強制家居檢疫， 4 月 1 日,nt
地勤,n
，無外遊紀錄。 3 月 26 日出現發燒、腹瀉、咳嗽,nz
味覺症狀，,nz
 3 月 22 日與親友參加喪禮，3 月 23 日參與一個 13 至 14 人,nz
解穢酒，張竹君,nr
